@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P93.0-S1

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
60,admin.,married,secondary,no,2552,no,yes,cellular,30,jan,255,2,2,4,no
43,blue-collar,divorced,primary,no,328,no,yes,cellular,8,jul,192,1,-1,0,no
28,blue-collar,single,secondary,no,4229,yes,yes,cellular,5,may,205,2,-1,0,no
34,admin.,married,tertiary,no,35,yes,no,cellular,15,oct,76,1,69,2,no
44,management,married,tertiary,no,7635,no,no,cellular,21,aug,719,5,-1,0,no
40,blue-collar,married,secondary,no,6767,yes,no,cellular,20,nov,97,2,-1,0,no
30,technician,single,secondary,no,57,no,no,cellular,2,feb,465,2,-1,0,no
33,technician,single,secondary,no,920,yes,no,cellular,21,nov,58,1,122,4,no
50,self-employed,married,secondary,no,3025,no,yes,cellular,6,aug,168,3,-1,0,no
50,self-employed,married,tertiary,no,202,yes,no,cellular,15,apr,107,1,148,4,no
53,admin.,married,secondary,no,105,no,yes,cellular,21,aug,74,2,-1,0,no
46,blue-collar,married,secondary,no,-216,yes,no,cellular,28,jul,404,3,-1,0,no
41,services,married,secondary,no,171,no,no,cellular,21,jul,71,9,-1,0,no
58,blue-collar,divorced,secondary,no,314,no,no,unknown,25,jun,67,2,-1,0,no
57,admin.,divorced,unknown,no,887,no,no,unknown,20,jun,43,8,-1,0,no
33,management,divorced,tertiary,yes,280,no,yes,cellular,18,nov,155,1,-1,0,no
38,management,single,tertiary,no,623,no,no,cellular,28,jun,297,4,144,4,yes
30,management,single,tertiary,no,2,no,no,cellular,16,jun,102,1,85,1,no
26,blue-collar,single,secondary,no,856,yes,yes,cellular,30,jul,95,5,-1,0,no
50,management,married,tertiary,no,-470,yes,no,cellular,8,may,506,2,170,3,no
37,technician,married,secondary,no,1063,yes,no,cellular,31,jul,413,2,-1,0,no
35,technician,single,secondary,no,175,yes,no,cellular,29,jan,219,1,246,1,no
35,services,divorced,secondary,no,221,yes,no,cellular,14,may,150,1,360,1,no
46,blue-collar,married,secondary,no,182,no,no,cellular,4,feb,56,1,-1,0,no
39,blue-collar,married,primary,no,800,yes,no,cellular,19,nov,76,6,-1,0,no
33,technician,married,secondary,no,0,yes,yes,cellular,19,nov,163,2,-1,0,no
45,technician,married,unknown,no,473,yes,no,unknown,27,may,147,1,-1,0,no
35,blue-collar,married,secondary,no,305,yes,no,cellular,18,may,7,7,367,25,no
51,blue-collar,married,primary,no,377,yes,no,telephone,3,feb,143,4,272,1,no
27,services,single,secondary,no,266,no,yes,cellular,7,jul,232,1,-1,0,no
26,admin.,divorced,secondary,yes,-3,yes,no,unknown,13,may,181,5,-1,0,no
28,self-employed,single,tertiary,no,4579,no,no,cellular,12,jan,409,2,-1,0,yes
55,self-employed,married,secondary,no,-196,yes,no,unknown,20,may,210,2,-1,0,no
32,admin.,single,tertiary,no,1583,yes,no,cellular,19,nov,100,1,182,1,no
31,services,single,secondary,no,85,no,no,cellular,16,jul,151,1,-1,0,no
43,management,married,tertiary,no,13044,no,no,cellular,18,aug,36,4,-1,0,no
33,blue-collar,married,secondary,no,0,yes,yes,cellular,28,jul,83,12,-1,0,no
32,technician,single,tertiary,no,1100,yes,yes,cellular,11,aug,67,1,-1,0,no
39,services,married,secondary,no,9374,yes,no,unknown,20,may,273,1,-1,0,no
36,blue-collar,married,secondary,no,1409,no,no,unknown,17,jun,235,2,-1,0,no
44,entrepreneur,married,secondary,no,6649,yes,no,cellular,19,nov,354,2,-1,0,no
45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,yes
43,unknown,married,tertiary,no,1937,no,no,unknown,19,jun,385,1,-1,0,no
35,self-employed,married,tertiary,no,980,no,no,cellular,2,aug,428,2,336,6,no
48,management,married,primary,no,247,yes,yes,unknown,14,may,145,1,-1,0,no
28,technician,single,secondary,no,618,yes,no,cellular,7,may,281,1,-1,0,no
22,student,single,unknown,no,47,no,no,cellular,3,jul,69,3,-1,0,no
33,admin.,married,secondary,no,353,yes,no,cellular,19,nov,107,2,-1,0,no
30,housemaid,single,secondary,no,1924,no,no,cellular,6,feb,170,1,-1,0,no
34,blue-collar,single,secondary,no,79,no,yes,cellular,20,nov,104,1,-1,0,no
58,blue-collar,married,primary,no,0,yes,no,unknown,29,may,535,2,-1,0,no
59,technician,married,secondary,no,2308,no,no,cellular,30,apr,815,1,87,1,yes
35,management,divorced,tertiary,no,434,yes,no,cellular,11,may,277,1,271,2,no
54,blue-collar,married,secondary,no,0,no,no,telephone,16,apr,1366,1,150,1,no
31,admin.,married,secondary,no,5,yes,yes,cellular,16,jul,101,7,-1,0,no
44,blue-collar,married,secondary,no,1910,yes,no,unknown,5,jun,41,1,-1,0,no
38,entrepreneur,married,secondary,no,868,no,no,cellular,20,nov,452,2,-1,0,no
43,technician,married,secondary,no,0,yes,yes,cellular,4,feb,539,8,204,5,no
59,housemaid,married,secondary,no,0,no,no,telephone,3,feb,722,1,99,4,no
51,management,married,tertiary,no,-15,no,no,cellular,25,jul,212,2,-1,0,no
41,management,married,tertiary,no,666,yes,no,unknown,21,may,253,3,-1,0,no
52,blue-collar,divorced,primary,no,-97,yes,yes,unknown,9,may,167,4,-1,0,no
52,technician,single,tertiary,no,1308,yes,no,unknown,29,may,361,1,-1,0,no
26,services,single,secondary,no,512,yes,yes,cellular,30,jan,206,5,239,3,no
34,blue-collar,married,secondary,no,7,yes,yes,cellular,2,feb,171,2,193,2,no
45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483,1,116,1,no
31,self-employed,married,secondary,no,33,no,no,cellular,6,aug,165,4,-1,0,no
30,technician,married,tertiary,no,1570,yes,no,cellular,26,may,260,1,-1,0,no
48,management,married,tertiary,no,1167,yes,yes,cellular,1,jun,264,1,-1,0,yes
40,blue-collar,married,secondary,no,11084,no,no,unknown,11,jun,113,1,-1,0,no
28,blue-collar,married,secondary,no,2788,yes,no,unknown,6,jun,369,2,-1,0,yes
41,management,married,tertiary,no,72,yes,no,unknown,7,may,764,3,-1,0,no
33,blue-collar,married,primary,no,1209,yes,no,cellular,16,apr,700,1,-1,0,no
40,technician,single,secondary,no,641,no,no,cellular,16,jul,156,6,-1,0,no
36,blue-collar,married,secondary,no,63,yes,no,unknown,2,jun,56,8,-1,0,no
59,management,married,primary,no,1727,no,no,telephone,25,may,500,4,358,2,yes
57,retired,married,primary,no,1238,yes,no,cellular,15,jul,274,1,-1,0,no
50,blue-collar,divorced,secondary,no,203,yes,no,telephone,19,nov,265,1,127,4,no
38,management,single,tertiary,no,1704,no,no,cellular,1,sep,222,1,-1,0,no
31,technician,single,secondary,no,1014,yes,no,cellular,23,jul,158,4,-1,0,no
39,management,single,tertiary,no,12437,no,no,telephone,18,nov,40,1,-1,0,no
37,management,single,tertiary,no,102,yes,no,cellular,21,aug,101,2,-1,0,no
31,technician,single,tertiary,no,969,no,no,cellular,15,jun,95,1,-1,0,no
42,blue-collar,married,secondary,no,230,yes,no,unknown,5,jun,175,7,-1,0,no
41,blue-collar,married,secondary,no,-217,yes,no,cellular,11,may,313,1,349,3,no
32,technician,single,tertiary,no,1012,no,no,cellular,14,apr,178,1,-1,0,no
42,admin.,divorced,secondary,no,936,no,no,cellular,30,jan,931,1,-1,0,yes
57,housemaid,married,secondary,no,158,yes,no,telephone,10,jul,73,1,-1,0,no
32,blue-collar,married,secondary,no,1148,yes,no,cellular,20,apr,121,1,-1,0,no
43,blue-collar,married,secondary,no,130,no,no,cellular,5,may,156,1,337,3,no
38,management,married,tertiary,no,-70,yes,no,cellular,30,jan,140,1,2,3,no
26,technician,single,secondary,no,2610,yes,yes,unknown,2,jun,626,1,-1,0,no
29,technician,single,tertiary,no,406,yes,no,cellular,17,jul,119,1,-1,0,no
34,blue-collar,married,primary,no,79,yes,no,cellular,14,may,406,2,-1,0,no
39,technician,single,tertiary,no,-41,no,yes,cellular,25,aug,40,15,-1,0,no
46,entrepreneur,married,secondary,no,757,no,no,unknown,16,jun,382,3,-1,0,no
49,entrepreneur,married,secondary,no,167,yes,yes,unknown,6,may,198,3,-1,0,no
35,management,single,tertiary,no,2975,no,no,cellular,8,aug,249,2,-1,0,no
43,management,divorced,tertiary,no,36,no,no,cellular,26,may,118,1,102,2,no
51,blue-collar,married,primary,no,-11,no,no,telephone,16,jul,126,4,-1,0,no
54,retired,divorced,tertiary,no,6102,yes,yes,unknown,21,may,86,6,-1,0,no
47,blue-collar,married,primary,no,881,yes,no,cellular,14,may,143,1,370,2,no
50,management,divorced,tertiary,no,201,yes,no,cellular,24,jul,248,1,-1,0,no
34,blue-collar,divorced,secondary,no,-566,yes,no,unknown,26,may,248,2,-1,0,no
34,services,married,secondary,no,-315,yes,no,unknown,8,may,56,2,-1,0,no
44,blue-collar,married,primary,no,271,yes,yes,unknown,9,may,94,1,-1,0,no
53,management,married,tertiary,no,1319,yes,no,cellular,16,apr,427,1,150,1,no
27,management,single,tertiary,no,446,no,no,cellular,23,jun,205,3,-1,0,no
36,self-employed,married,tertiary,no,16430,yes,no,unknown,6,jun,197,3,-1,0,no
45,self-employed,married,secondary,no,706,no,no,cellular,30,apr,78,2,176,1,no
32,technician,married,secondary,no,266,yes,no,cellular,19,aug,168,2,-1,0,no
45,technician,single,tertiary,no,2087,no,no,cellular,29,aug,29,14,-1,0,no
33,technician,single,secondary,no,2085,no,no,cellular,9,feb,501,2,-1,0,yes
30,self-employed,single,tertiary,no,48,no,no,cellular,21,nov,140,1,-1,0,no
27,blue-collar,single,secondary,no,23,no,no,cellular,26,feb,590,2,-1,0,no
53,blue-collar,married,primary,no,3316,yes,no,unknown,23,may,331,6,-1,0,no
44,blue-collar,married,primary,no,-312,yes,no,unknown,20,jun,22,3,-1,0,no
34,management,married,tertiary,no,1657,yes,no,cellular,18,may,566,2,356,4,no
36,management,single,tertiary,no,0,no,no,cellular,11,aug,108,2,-1,0,no
48,technician,married,unknown,no,5543,no,no,unknown,16,jun,143,5,-1,0,no
41,blue-collar,single,secondary,no,428,yes,no,cellular,12,may,92,1,-1,0,no
40,blue-collar,married,primary,no,1206,no,yes,telephone,16,jul,201,5,-1,0,no
29,student,single,secondary,no,872,yes,no,unknown,7,may,230,1,-1,0,no
37,blue-collar,divorced,primary,no,511,yes,no,telephone,11,may,42,1,-1,0,no
35,management,married,tertiary,no,4286,yes,no,unknown,9,may,357,1,-1,0,no
53,technician,divorced,primary,no,7290,yes,no,unknown,30,may,153,1,-1,0,no
45,blue-collar,single,primary,no,999,no,no,cellular,29,jan,182,2,-1,0,no
29,management,single,tertiary,no,15459,no,no,cellular,26,may,245,3,97,7,no
54,management,married,tertiary,no,8295,no,no,cellular,5,jun,207,1,-1,0,yes
46,blue-collar,single,secondary,no,324,yes,no,unknown,30,may,293,6,-1,0,no
55,management,married,primary,no,621,no,yes,cellular,2,feb,114,1,208,1,no
32,blue-collar,married,secondary,no,1787,yes,no,cellular,12,may,87,4,357,4,no
42,technician,married,secondary,no,440,yes,no,cellular,3,feb,13,5,-1,0,no
38,blue-collar,married,secondary,no,0,yes,no,cellular,13,may,57,5,349,1,no
51,technician,divorced,tertiary,no,0,no,no,cellular,28,aug,84,7,-1,0,no
48,blue-collar,married,secondary,no,1143,yes,no,cellular,17,apr,264,1,317,1,no
37,management,single,tertiary,no,695,no,no,cellular,28,jan,233,1,-1,0,no
39,services,married,secondary,no,186,yes,no,cellular,17,apr,433,1,-1,0,no
43,management,married,tertiary,no,2,no,yes,cellular,20,aug,472,2,-1,0,no
57,services,divorced,secondary,no,4664,no,no,cellular,21,nov,22,4,114,1,no
52,management,single,tertiary,no,83,no,no,cellular,26,aug,1223,6,-1,0,yes
34,technician,married,tertiary,no,5060,yes,no,cellular,21,aug,12,21,-1,0,no
35,blue-collar,single,secondary,no,376,yes,yes,unknown,6,may,207,3,-1,0,no
56,services,divorced,unknown,no,1877,yes,no,unknown,30,may,86,1,-1,0,no
39,admin.,single,secondary,no,1242,yes,no,unknown,12,may,303,3,-1,0,no
47,admin.,single,secondary,no,1544,yes,no,cellular,6,apr,104,1,312,1,no
55,management,married,tertiary,no,2366,yes,yes,cellular,30,jul,94,4,-1,0,no
32,management,single,tertiary,no,11797,yes,no,cellular,11,aug,95,2,-1,0,no
33,services,married,primary,no,6904,no,no,telephone,20,nov,114,2,-1,0,no
40,services,married,secondary,no,9374,yes,no,cellular,21,nov,7,8,185,1,no
31,technician,single,tertiary,no,454,no,no,cellular,4,feb,73,3,-1,0,no
58,retired,married,secondary,no,14412,no,no,cellular,18,nov,297,1,-1,0,no
32,technician,single,secondary,no,-28,no,yes,unknown,4,jul,400,1,-1,0,no
37,blue-collar,married,unknown,no,897,yes,no,cellular,13,apr,119,2,280,2,no
51,technician,divorced,secondary,no,2323,yes,yes,cellular,18,aug,151,10,-1,0,no
35,blue-collar,married,secondary,no,1287,yes,no,cellular,14,jul,330,2,-1,0,no
53,blue-collar,married,primary,no,306,no,no,cellular,28,jul,388,3,181,1,yes
38,admin.,married,tertiary,no,1980,no,no,cellular,5,aug,176,2,-1,0,no
30,blue-collar,married,primary,no,1,yes,yes,telephone,22,jul,80,2,-1,0,no
41,technician,single,tertiary,no,1646,yes,no,cellular,4,feb,261,1,184,6,yes
49,blue-collar,married,unknown,no,3096,no,no,unknown,16,jun,147,2,-1,0,no
38,management,married,tertiary,no,389,yes,no,unknown,6,may,262,1,-1,0,no
58,management,married,primary,no,320,yes,no,unknown,30,may,171,2,-1,0,no
54,management,married,tertiary,no,2819,no,no,cellular,7,aug,123,3,-1,0,no
59,retired,married,secondary,no,163,no,no,cellular,24,jul,464,1,-1,0,no
30,blue-collar,single,secondary,no,178,yes,no,unknown,20,may,747,5,-1,0,no
49,blue-collar,married,secondary,no,579,yes,no,unknown,28,may,396,1,-1,0,no
32,services,married,secondary,no,1464,yes,no,unknown,3,jun,193,1,-1,0,no
28,management,single,unknown,no,81,no,yes,cellular,8,jul,158,1,-1,0,no
58,management,divorced,tertiary,no,1573,yes,yes,cellular,17,nov,279,1,-1,0,no
29,management,single,tertiary,no,5980,yes,no,unknown,28,may,317,1,-1,0,no
38,management,married,tertiary,no,3436,no,no,cellular,21,nov,663,4,-1,0,yes
35,blue-collar,married,primary,no,0,yes,no,cellular,24,jul,90,6,-1,0,no
24,blue-collar,married,secondary,no,204,yes,yes,cellular,17,apr,229,3,-1,0,no
32,blue-collar,married,secondary,no,14,yes,no,unknown,2,jun,171,1,-1,0,no
34,technician,single,secondary,no,179,no,no,cellular,19,aug,294,3,-1,0,no
29,management,married,tertiary,no,318,yes,no,cellular,18,may,1434,2,356,4,no
45,management,married,tertiary,no,242,no,no,cellular,30,apr,587,1,-1,0,yes
48,management,married,tertiary,no,363,no,no,cellular,18,nov,67,1,-1,0,no
38,blue-collar,married,primary,no,290,yes,no,cellular,16,apr,283,1,-1,0,no
36,management,single,tertiary,no,1283,no,no,cellular,18,aug,92,5,-1,0,no
27,technician,single,secondary,no,235,yes,no,cellular,12,may,13,5,-1,0,no
52,services,married,secondary,no,431,no,no,cellular,26,aug,73,17,-1,0,no
35,technician,married,secondary,no,2,no,no,telephone,28,jan,653,3,-1,0,no
27,technician,single,tertiary,no,808,yes,no,cellular,15,may,578,1,364,1,no
51,services,married,secondary,no,867,yes,no,cellular,3,feb,177,2,211,3,no
37,blue-collar,married,primary,no,11,no,no,telephone,30,jul,109,8,-1,0,no
57,technician,married,unknown,no,206,yes,no,unknown,5,may,216,3,-1,0,no
48,services,single,unknown,no,5095,yes,no,unknown,16,jun,71,1,-1,0,no
57,self-employed,married,tertiary,yes,-3313,yes,yes,unknown,9,may,153,1,-1,0,no
33,services,divorced,secondary,no,2411,yes,no,cellular,23,oct,130,1,161,1,yes
33,management,married,secondary,no,11,yes,no,cellular,4,may,104,3,-1,0,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,no
33,management,single,primary,no,4897,yes,no,unknown,20,may,151,1,-1,0,no
34,management,married,tertiary,no,1116,yes,no,cellular,25,jul,53,5,-1,0,no
26,blue-collar,married,primary,no,5116,yes,no,cellular,22,jul,246,3,-1,0,no
53,blue-collar,married,secondary,no,25,no,no,cellular,22,aug,528,2,-1,0,yes
34,management,single,secondary,no,0,no,no,cellular,22,aug,132,4,-1,0,no
40,technician,single,secondary,no,591,no,yes,cellular,14,aug,87,6,-1,0,no
44,entrepreneur,married,tertiary,no,3463,yes,yes,cellular,28,aug,210,3,-1,0,no
77,retired,married,primary,no,680,no,no,telephone,27,nov,341,4,94,3,no
31,services,single,secondary,no,864,yes,no,cellular,6,may,100,1,-1,0,no
39,technician,married,tertiary,no,1161,yes,no,cellular,9,apr,236,1,336,1,no
31,services,married,secondary,no,1062,yes,yes,cellular,6,apr,230,1,-1,0,no
32,management,single,tertiary,no,112,yes,no,cellular,5,may,118,1,-1,0,no
47,services,married,secondary,no,3333,yes,yes,cellular,29,jul,114,2,-1,0,no
38,housemaid,married,secondary,no,-278,yes,no,cellular,28,jul,143,2,-1,0,no
42,blue-collar,married,secondary,no,0,yes,no,cellular,21,nov,328,6,-1,0,no
49,technician,married,secondary,no,-147,yes,no,cellular,20,apr,390,1,-1,0,no
47,entrepreneur,married,unknown,no,209,yes,no,unknown,6,may,135,2,-1,0,no
55,management,married,unknown,no,559,no,no,cellular,28,jan,271,2,-1,0,no
47,technician,married,primary,no,187,yes,no,unknown,9,may,165,1,-1,0,no
45,services,married,secondary,no,1343,no,yes,cellular,8,jul,220,1,-1,0,no
32,self-employed,married,secondary,no,217,yes,yes,cellular,15,jul,317,5,-1,0,no
49,blue-collar,married,primary,no,937,yes,no,unknown,12,jun,66,1,-1,0,no
28,admin.,single,secondary,no,4745,no,no,telephone,12,may,360,1,181,5,yes
35,technician,single,secondary,no,-51,no,no,unknown,2,jul,134,2,-1,0,no
29,admin.,single,secondary,no,1992,no,no,cellular,8,jul,202,1,87,2,no
30,management,single,tertiary,no,6164,yes,no,unknown,27,may,152,11,-1,0,no
47,technician,married,secondary,no,3973,no,no,cellular,6,aug,732,2,-1,0,no
34,blue-collar,married,secondary,no,516,yes,yes,unknown,2,jun,26,1,-1,0,no
50,blue-collar,married,secondary,no,372,yes,no,telephone,11,may,21,1,-1,0,no
33,technician,single,secondary,no,647,yes,yes,cellular,4,feb,124,1,273,1,no
43,management,married,tertiary,no,348,no,yes,cellular,15,jul,88,3,-1,0,no
42,self-employed,divorced,tertiary,no,360,yes,no,unknown,24,jun,110,5,-1,0,no
47,services,single,unknown,no,1784,no,no,cellular,19,oct,385,2,-1,0,yes
27,admin.,divorced,secondary,no,76,yes,no,unknown,4,jun,236,1,-1,0,no
32,services,single,unknown,no,6145,yes,no,cellular,14,may,362,1,287,13,no
35,management,single,secondary,no,81,yes,no,cellular,29,jan,79,1,-1,0,no
56,admin.,divorced,secondary,no,3337,yes,no,telephone,17,nov,99,3,-1,0,no
29,blue-collar,married,unknown,no,486,yes,no,cellular,6,may,422,1,363,1,no
45,entrepreneur,married,primary,no,2418,yes,no,unknown,14,may,120,1,-1,0,no
34,management,married,tertiary,no,697,no,no,cellular,5,aug,166,1,-1,0,no
48,management,married,secondary,no,4415,yes,no,cellular,8,apr,1032,3,141,7,yes
53,entrepreneur,married,primary,no,1034,yes,no,cellular,19,nov,854,2,170,3,no
30,blue-collar,married,secondary,no,6,yes,no,cellular,28,jan,241,3,-1,0,no
61,management,married,secondary,no,967,no,no,cellular,20,aug,180,1,-1,0,no
59,admin.,married,secondary,no,817,no,no,cellular,9,apr,304,1,-1,0,no
36,management,married,tertiary,no,1133,yes,no,cellular,4,aug,293,1,181,2,yes
38,blue-collar,single,secondary,no,-1,yes,no,unknown,7,may,72,1,-1,0,no
56,management,divorced,tertiary,no,1016,yes,no,unknown,9,jun,184,5,-1,0,no
58,blue-collar,married,secondary,no,590,no,yes,unknown,5,jun,133,1,-1,0,no
40,technician,married,secondary,no,-396,yes,no,unknown,26,may,127,1,-1,0,no
33,services,married,secondary,no,210,yes,yes,unknown,20,may,201,1,-1,0,no
34,student,married,unknown,no,1387,no,no,cellular,30,apr,121,1,-1,0,no
55,management,divorced,tertiary,no,1598,no,no,cellular,22,aug,607,4,-1,0,no
32,blue-collar,married,secondary,no,-63,yes,no,unknown,30,may,198,1,-1,0,no
41,housemaid,single,secondary,no,231,no,no,cellular,9,jul,76,2,-1,0,no
32,management,single,tertiary,no,537,no,no,unknown,29,may,187,3,-1,0,no
43,blue-collar,married,primary,no,487,yes,no,unknown,7,may,548,2,-1,0,no
